team,1,2,3,DROP
ARM-UCSD,1,1,1,
ICSI-1,,
ICSI-2,0.5159468634407632,0.21719949888295254,0.6933002555897148,
ICSI-UMD,0.6309685299222515,0.6309685299222515,0.6309685299222515,
Perspecta,,
Perspecta-IUB,0.7441778805965046,0.7414098931668037,0.7442245118417804,
Perspecta-PurdueRutgers,,
PL-GIFT,,
TrinitySRITrojAI,0.8789681196212769,0.8789681196212769,
TrinitySRITrojAI-BostonU,0.5395445823669434,0.5343179702758789,0.5349100828170776,
TrinitySRITrojAI-SBU,,
trojai-example,,
ARM-UCSD,1,1,1,
ICSI-1,,
ICSI-2,0.5159468634407632,0.21719949888295254,0.6933002555897148,
ICSI-UMD,0.6309685299222515,0.6309685299222515,0.6309685299222515,
Perspecta,,
Perspecta-IUB,0.7441778805965046,0.7414098931668037,0.7442245118417804,
Perspecta-PurdueRutgers,,
PL-GIFT,0.99,0.99,0.99,
TrinitySRITrojAI,0.8789681196212769,0.8789681196212769,0.8789681196212769,
TrinitySRITrojAI-BostonU,0.5395445823669434,0.5343179702758789,0.5349100828170776,
TrinitySRITrojAI-SBU,0.8736053109169006,0.9477576613426208,0.8603496551513672,
trojai-example,0.035028596043962246,0.8815850164939825,0.41572695022789663,